,check,amount,Purchase,Category,FOIA No,Link,Comments,not shown
5/11/2010,14777,43316.1,phones,routine,15-7567,14777.pdf,,
5/21/2010,14784,8500,lexis nexis,surveillance,15-7567,14784.pdf,,
5/21/2010,14785,5865,lexis nexis,surveillance,15-7567,14785.pdf,,
5/24/2010,14811,9869.6,seized vehicles,routine,15-7567,14811.pdf,,
5/24/2010,14812,11850.85,seized vehicles,routine,15-7567,14812.pdf,,
5/25/2010,14813,301500,SWAT equipment,routine,15-7567,14813.pdf,,
5/25/2010,14814,33500,SWAT equipment,routine,15-7567,14814.pdf,,
5/26/2010,14826,5963.91,seized vehicles,routine,15-7567,14826.pdf,,
6/8/2010,14870,8594,server,routine,15-7567,14870.pdf,for OCD administrative office,
6/14/2010,14874,59016.7,training equipment,routine,15-7567,14874.pdf,overredaction,
6/18/2010,14889,213754.83,,,,,,
6/21/2010,14892,8500,,,,,,
6/21/2010,14893,5790.5,,,,,,
6/21/2010,14894,251654.28,,,,,,
6/21/2010,14895,15661.93,,,,,,
7/12/2010,14944,20194.41,,,,,,
7/12/2010,14946,19241.49,,,,,,
7/13/2010,14948,36840.93,,,,,,
7/13/2010,14950,36968.82,,,,,,
7/13/2010,14952,37509.42,,,,,,
7/14/2010,14961,132593.39,enterprise,routine,16-0007,14961.pdf,,
7/19/2010,14969,8500,lexis nexis,surveillance,16-0007,14969.pdf,,
7/23/2010,14974,6080.5,lexis nexis,surveillance,16-0007,14974.pdf,,
7/23/2010,14976,8362.5,raid apparel,routine,16-0007,14976.pdf,,
8/2/2010,14998,5322.14,AT&T trunking,routine,16-0007,14998.pdf,,
8/12/2010,15015,16366.35,gps trackers,surveillance,16-0007,15015.pdf,,
8/12/2010,15016,5220,black widow surveillance,surveillance,16-0007,15016.pdf,,
8/19/2010,15018,8500,lexis nexis,surveillance,16-0007,15018.pdf,,
8/20/2010,15022,5960.5,lexis nexis,surveillance,16-0007,15022.pdf,,
8/25/2010,15038,5740.81,AT&T trunking,routine,16-0007,15038.pdf,,
9/2/2010,15062,115146.65,enterprise,routine,16-0191,15062.pdf,,
9/2/2010,15063,23599.34,enterprise,routine,16-0191,15063.pdf,,
9/14/2010,15094,6558.3,training equipment,routine,16-0191,15094.pdf,,
9/22/2010,15107,8500,lexis nexis,surveillance,16-0191,15107.pdf,,
9/24/2010,15112,7644,GPS air time,routine,16-0191,15112.pdf,,
9/24/2010,15113,5929.75,lexis nexis,surveillance,16-0191,15113.pdf,,
9/24/2010,15114,5092.67,car repair,routine,16-0191,15114.pdf,,
9/27/2010,15120,9600,car repair,routine,16-0191,15120.pdf,,
9/27/2010,15121,16075,camera equipment,surveillance,16-0191,15121.pdf,,
9/29/2010,15127,157300,Stingray ,surveillance,16-0191,15127.pdf,,
10/1/2010,15139,7060,postal equipment,routine,16-0190,15139.pdf,"""Those items are normally funded by Chicago HIDTAm however; this years budget cuts have eliminated funds for equipment""",
10/7/2010,15150,5326.62,car repair,routine,16-0190,15150.pdf,,
10/7/2010,15155,125941.02,enterprise,routine,16-0190,15155.pdf,,
10/8/2010,15157,205000,PODs,surveillance ,16-0190,15157.pdf,,
10/20/2010,15164,38822.2,phones,routine,16-0190,15164.pdf,,
10/20/2010,15166,40339.26,phones,routine,16-0190,15166.pdf,,
10/20/2010,15168,21521.02,phones,routine,16-0190,15168.pdf,,
10/20/2010,15169,21538,phones,routine,16-0190,15169.pdf,,
10/20/2010,15170,21073.6,phones,routine,16-0190,15170.pdf,,
10/21/2010,15179,8500,lexis nexis,surveillance,16-0190,15179.pdf,,
10/21/2010,15180,41433.29,phones,routine,16-0189,15180.pdf,,
10/22/2010,15182,5881,lexis nexis,surveillance,16-0189,15182.pdf,,
10/22/2010,15183,5239.08,gang intelligence reporting,routine,16-0189,15183.pdf,,
10/22/2010,15184,5487.4,audio / video supplies,routine,16-0189,15184.pdf,,
10/27/2010,15196,5494.61,trunking ,routine,16-0189,15196.pdf,,
11/1/2010,15204,14790,redacted,redacted,16-0189,15204.pdf,,
11/1/2010,15205,5240,pinhole cameras,surveillance,16-0189,15205.pdf,probably pinhole cams... need to fight redaction,
11/9/2010,15219,128055.19,enterprise,routine,16-0189,15219.pdf,,
11/16/2010,15231,11840,pinhole camera ,surveillance,16-0189,15231.pdf,"probably pinhole cams, need to fight redaction",
11/17/2010,15232,8500,lexis nexis,surveillance,16-0189,15232.pdf,,
11/29/2010,15237,5959,lexis nexis,surveillance,15-0583,15237.pdf,,
12/1/2010,15244,38929.58,phones,routine,15-0583,15244.pdf,,
12/2/2010,15249,6918.14,vehicle repairs,routine,15-0583,15249.pdf,,
12/7/2010,15261,41809.32,phones,routine,15-0583,15261.pdf,,
12/15/2010,15281,8500,lexis nexis,surveillance,15-0583,15281.pdf,,
12/15/2010,15282,5326.62,vehicle repairs,routine,15-0583,15282.pdf,,
12/15/2010,15283,130550.33,enterprise,routine,16-0584,15283.pdf,,
1/3/2011,15298,8019.93,T1 Internet Access ,routine,16-0584,15298.pdf,DEA,
1/5/2011,15300,5895,lexis nexis,surveillance,16-0584,15300.pdf,,
1/7/2011,15303,42539.01,phones,routine,16-0584,15303.pdf,,
1/10/2011,15304,21406.17,phones,routine,16-0584,15304.pdf,,
1/10/2011,15305,5355,camera equipment,surveillance,16-0584,15305.pdf,,
1/21/2011,15318,8500,lexis nexis,surveillance,16-0584,15318.pdf,,
1/21/2011,15325,5938.04,vehicle repairs,routine,16-0584,15325.pdf,,
1/25/2011,15339,5655.5,lexis nexis,surveillance,16-0584,15339.pdf,,
2/1/2011,15350,129615.73,enterprise,routine,16-0584,15350.pdf,,
2/7/2011,15363,14028.3,,,,,,
2/9/2011,15364,5586,,,,,,
2/16/2011,15376,42032.02,,,,,,
2/18/2011,15378,129509.8,,,,,,
2/18/2011,15379,8500,,,,,,
3/1/2011,15388,5818.75,,,,,,
3/4/2011,15411,135384.6,,,,,,
3/9/2011,15415,138866,,,,,,
3/10/2011,15417,21171.97,,,,,,
3/17/2011,15426,8500,,,,,,
3/23/2011,15499,133693.88,enterprise,routine,16-0586,15499.pdf,,
3/24/2011,15501,16464.34,vehicle repair,routine,16-0586,15501.pdf,,
3/25/2011,15512,20957.55,phones,routine,16-0586,15512.pdf,,
4/1/2011,15516,5817,lexis nexis,surveillance,16-0586,15516.pdf,,
4/18/2011,15548,6000,trap and trace,surveillance,16-0586,15548.pdf,"??? ""locator request"" == trap and trace?",
4/18/2011,15553,5042.55,drug testing ,routine,16-0586,15553.pdf,,
4/18/2011,15557,6600.24,vehicle repair,routine,16-0586,15557.pdf,,
4/19/2011,15558,131498.37,enterprise,routine,16-0586,15558.pdf,,
4/21/2011,15561,8500,lexis nexis,surveillance,16-0586,15561.pdf,,
4/21/2011,15565,5720.5,lexis nexis,surveillance,16-0586,15565.pdf,,
4/25/2011,15569,42855.57,phones,routine,16-0587,15569.pdf,,
4/27/2011,15589,40796.45,phones,routine,16-0587,15589.pdf,,
5/9/2011,15635,20348.64,phones,routine,16-0587,15635.pdf,,
5/11/2011,15639,38328.54,phones,routine,16-0587,15639.pdf,,
5/13/2011,15647,8500,lexis nexis,surveillance,16-0587,15647.pdf,,
5/23/2011,15664,135435.75,enterprise,routine,16-0587,15664.pdf,,
5/23/2011,15665,20759.59,phones,routine,16-0587,15665.pdf,,
5/24/2011,15672,19020.34,phones,routine,16-0587,15672.pdf,el salvadore?,
6/1/2011,15692,6336.28,vehicle repair,routine,16-0587,15692.pdf,,
6/1/2011,15694,35108.95,phones,routine,16-0587,15694.pdf,,
6/2/2011,15698,5971.25,,,,,,
6/3/2011,15704,6385.5,,,,,,
6/6/2011,15711,14028.3,,,,,,
6/14/2011,15721,19451.28,,,,,,
6/16/2011,15724,8500,,,,,,
6/16/2011,15726,5500,,,,,,
6/23/2011,15745,129020.01,,,,,,
6/27/2011,15747,11245,,,,,,
7/8/2011,15763,5901,,,,,,
7/25/2011,15778,16746.28,,,,,,
8/4/2011,15786,44520,,,,,,
8/4/2011,15788,128777.97,,,,,,
8/8/2011,15793,9625,,,,,,
8/8/2011,15801,33617.49,,,,,,
8/8/2011,15802,30977.4,,,,,,
8/16/2011,15805,5552.5,,,,,,
8/16/2011,15809,27407.53,,,,,,
8/17/2011,15810,8500,,,,,,
8/17/2011,15812,17960.19,,,,,,
8/26/2011,15826,8500,,,,,,
9/1/2011,15830,5955.39,,,,,,
9/1/2011,15836,5200,,,,,,
9/1/2011,15847,138467.13,,,,,,
9/13/2011,15860,17309.03,,,,,,
9/14/2011,15861,6275,,,,,,
9/14/2011,15871,19857.56,,,,,,
10/3/2011,15886,47000,,,,,,
10/3/2011,15893,5569.25,,,,,,
10/3/2011,15894,8500,,,,,,
10/12/2011,15908,25256.23,,,,,,
10/19/2011,15913,8500,,,,,,
11/1/2011,15921,23750,,,,,,
11/1/2011,15924,17861.19,,,,,,
11/7/2011,15950,8518.12,,,,,,
11/15/2011,15959,6002,,,,,,
11/15/2011,15960,25445.03,,,,,,
11/15/2011,15961,17058.97,,,,,,
11/16/2011,15964,7828,,,,,,
11/16/2011,15970,8500,,,,,,
11/16/2011,15971,11392.5,,,,,,
11/23/2011,15980,17240.45,,,,,,
12/27/2011,16005,14388,,,,,,
12/27/2011,16006,7500,,,,,,
1/3/2012,16012,8505.5,,,,,,
1/11/2012,16027,6160,,,,,,
1/18/2012,16042,25292.15,,,,,,
1/18/2012,16043,25577.62,,,,,,
1/18/2012,16044,16555.49,,,,,,
1/18/2012,16045,17420.76,,,,,,
1/19/2012,16046,8500,,,,,,
1/23/2012,16050,164190.27,enterprise,routine,16-0006,16050.pdf,,
1/26/2012,16056,138866,penlink,surveillance,16-0006,16056.pdf,,
2/1/2012,16062,6097,lexis nexis,surveillance,16-0006,16062.pdf,,
2/1/2012,16066,5718.54,car repair,routine,16-0006,16066.pdf,,
2/1/2012,16073,126310.34,enterprise,routine,16-0006,16073.pdf,,
2/7/2012,16083,8240.65,seized cars,routine,16-0006,16083.pdf,,
2/10/2012,16090,25684.42,phones,routine,16-0006,16090.pdf,,
2/16/2012,16092,17276.52,phones,routine,16-0006,16092.pdf,,
2/23/2012,16102,8503.5,lexis nexis,surveillance,16-0006,16102.pdf,,
2/27/2012,16104,71408.31,enterprise,routine,16-0006,16104.pdf,,
3/6/2012,16130,117007.63,,,,,,
3/6/2012,16131,6262.55,,,,,,
3/9/2012,16144,25553.83,,,,,,
3/14/2012,16150,8501.5,,,,,,
3/14/2012,16151,18244.1,,,,,,
3/16/2012,16152,6960,,,,,,
3/20/2012,16159,136448.53,,,,,,
4/2/2012,16172,6374.5,,,,,,
4/2/2012,16173,5267.68,,,,,,
4/4/2012,16191,8400,,,,,,
4/17/2012,16230,25591.07,phones,routine,16-0011,16230.pdf,,
4/17/2012,16233,16729.07,phones,routine,16-0011,16233.pdf,,
4/18/2012,16244,8504.5,lexis nexis,surveillance,16-0011,16244.pdf,,
5/1/2012,16264,129618.09,enterprise,routine,16-0011,16264.pdf,,
5/10/2012,16297,25975.14,phones,routine,16-0011,16297.pdf,,
5/10/2012,16300,8975.15,car repair,routine,16-0011,16300.pdf,,
5/16/2012,16309,8531.25,lexis nexis,surveillance,16-0011,16309.pdf,,
5/16/2012,16310,16209.2,phones,routine,16-0011,16310.pdf,,
6/1/2012,16336,121672.27,enterprise,routine,16-0011,16336.pdf,,
6/1/2012,16338,10791,gps trackers,surveillance,16-0011,16338.pdf,,
6/13/2012,16351,12123.25,,,,,,
6/21/2012,16356,8786.5,,,,,,
6/21/2012,16358,16333.04,,,,,,
7/2/2012,16379,46469,,,,,,
7/2/2012,16381,128527.97,,,,,,
7/2/2012,16382,18820,,,,,,
7/10/2012,16392,11675,,,,,,
7/20/2012,16402,619088,,,,,,
7/20/2012,16403,20000,,,,,,
7/26/2012,16414,8510.5,,,,,,
7/26/2012,16417,12670.9,lexis nexis,surveillance,15-7523,16417.pdf,,
8/2/2012,16432,16507.48,Phones,Routine,15-7523,16432.pdf,,
8/2/2012,16434,126577.77,enterprise,Routine,15-7523,16434.pdf,,
8/3/2012,16437,360605.11,ballistics labs,Routine,15-7523,16437.pdf,,
8/3/2012,16438,26544.08,Phones,Routine,15-7523,16438.pdf,,
8/14/2012,16447,91530,"ir cam, pole cams, counter surveillance",surveillance,15-7523,16447.pdf,,
8/17/2012,16450,8511.5,lexis nexis,surveillance,15-7523,16450.pdf,,
8/17/2012,16452,16936.57,Phones,Routine,15-7523,16452.pdf,,
8/20/2012,16454,6466.75,lexis nexis,surveillance,15-7523,16454.pdf,,
8/21/2012,16457,12790,k9s,Routine,15-7523,16457.pdf,,
8/22/2012,16466,130009.57,enterprise,Routine,15-7385,16466.pdf,,
8/24/2012,16468,26395.36,Phones,Routine,15-7385,16468.pdf,,
9/19/2012,16511,8500,lexis nexis,surveillance,15-7385,16511.pdf,,
10/1/2012,16528,17575.7,phones,Routine,15-7385,16528.pdf,,
10/1/2012,16529,26481.89,phones,Routine,15-7385,16529.pdf,,
10/1/2012,16530,125619.22,enterprise,Routine,15-7385,16530.pdf,,
10/2/2012,16533,6023.1,car repair and seizure,Routine,15-7385,16533.pdf,,
10/2/2012,16534,8711.42,car repair and seizure,Routine,15-7385,16534.pdf,,
10/3/2012,16535,6409.25,lexis nexis,surveillance,15-7385,16535.pdf,,
10/15/2012,16542,26442.49,phones,routine,15-7385,16542.pdf,,
10/16/2012,16543,15871.88,phones,routine,15-7385,16543.pdf,,
10/22/2012,16553,6521.75,lexis nexis,surveillance,15-7385,16553.pdf,,
11/1/2012,16573,130699.65,enterprise,routine,15-7385,16573.pdf,,
11/15/2012,16581,8273.1,freight security trackers,surveillance,15-7385,16581.pdf,,
11/15/2012,16582,27389,AVID video processing and tower,routine,15-7385,16582.pdf,,
11/19/2012,16593,8500,lexis nexis,surveillance,15-7385,16593.pdf,,
11/19/2012,16599,137171.67,PEN Link,surveillance,15-7385,16599.pdf,,
11/27/2012,16601,16095.31,phones,routine,15-7385,16601.pdf,,
12/3/2012,16612,6598.5,lexis nexis,surveillance,15-7385,16612.pdf,,
12/3/2012,16614,26445.8,phones,routine,15-7385,16614.pdf,,
12/3/2012,16615,125524.22,Enterprise,Routine,15-6955,16615.pdf,,
12/7/2012,16623,37000.67,PENLink BlueRayJukebox and one Dex Processor,Surveillance,15-6955,16623.pdf,,
12/11/2012,16630,26869.76,phones,Routine,15-6955,16630.pdf,,
12/12/2012,16633,9575.59,car repair and seizure,Routine,15-6955,16633.pdf,,
12/19/2012,16649,8500,lexis nexis,surveillance,15-6955,16649.pdf,,
12/26/2012,16653,13182.3,REDACTED,redacted,15-6955,16653.pdf,overredaction,
1/8/2013,16679,20790.69,phones,Routine,15-6955,16679.pdf,,
1/9/2013,16683,6755.75,lexis nexis,Routine,15-6955,16683.pdf,,
1/9/2013,16684,9977.25,Redacted,redacted,15-6955,16684.pdf,,
1/14/2013,16687,26673.87,phones,routine,15-6955,16687.pdf,,
1/16/2013,16692,133228.68,enterprise,routine,15-7043,16692.pdf,,
1/17/2013,16693,8500,lexis nexis,surveillance,15-7068,16693.pdf,,
1/18/2013,16694,8502.75,lexis nexis,surveillance,15-7068,16694.pdf,,
1/18/2013,16699,16526.96,phones,routine,15-7043,16699.pdf,,
2/1/2013,16721,10539,pole cams,surveillance,15-7043,16721.pdf,,
2/6/2013,16731,129446.43,enterprise,routine,15-7043,16731.pdf,,
2/14/2013,16738,509063,ballistics lab,routine,15-7043,16738.pdf,,
2/21/2013,16750,6851.75,lexis nexis,surveillance,15-7043,16750.pdf,,
2/21/2013,16751,6825.25,lexis nexis,surveillance,15-7043,16751.pdf,,
2/21/2013,16752,8500,lexis nexis,surveillance,15-7068,16752.pdf,,
2/21/2013,16754,26600.8,phones,routine,15-7043,16754.pdf,,
2/25/2013,16762,14899.2,phones,routine,15-7043,16762.pdf,,
3/1/2013,16775,12136.98,seized vehicles,routine,15-7043,16775.pdf,,
3/1/2013,16777,128700.98,,,,,,
3/19/2013,16802,340628.75,,,,,,
3/20/2013,16808,8500,lexis nexis,surveillance,15-7068,16808.pdf,,
3/20/2013,16809,130576.09,,,,,,
3/21/2013,16814,15339.85,,,,,,
3/25/2013,16820,6660.5,,,,,,
4/1/2013,16823,9600,,,,,,
4/1/2013,16856,45470,,,,,,
4/1/2013,16858,29846.03,,,,,,
4/17/2013,16881,8500,lexis nexis,surveillance,15-7045,16881.pdf,,
4/17/2013,16882,27289.8,,,,,,
4/17/2013,16884,37400,,,,,,
4/19/2013,16891,15629.32,phones,routine,15-7045,16891.pdf,,
5/1/2013,16905,6814.75,lexis nexis,surveillance,15-7045,16905.pdf,,
5/1/2013,16906,56100,pinhole cams?,Surveillance,15-7045,16906.pdf,"overredaction, unclear",
5/1/2013,16911,130683.83,enterprise,Routine,15-7045,16911.pdf,,
5/3/2013,16926,11902.11,seized cars,Routine,15-7045,16926.pdf,,
5/6/2013,16936,96030,VISION database,?,15-7045,16936.pdf,"soliant consulting, filemaker pro, ocd vision",
5/13/2013,16953,23425,pinhole cams?,Surveillance,15-7045,16953.pdf,"overredaction, unclear",
5/13/2013,16959,8500,lexis nexis,surveillance,15-7068,16959.pdf,,
5/16/2013,16961,32000,1505 audit,Routine,15-7045,16961.pdf,,
5/21/2013,16968,13039.86,phones,Routine,15-7045,16968.pdf,,
5/21/2013,16969,27579.88,phones,Routine,15-7045,16969.pdf,,
5/22/2013,16973,410815.33,,,,,,
6/4/2013,16982,6650.14,,,,,,
6/4/2013,16986,214600,,,,,,
6/4/2013,16989,121361.19,,,,,,
6/10/2013,17006,6652.25,,,,,,
6/19/2013,17015,8500,lexis nexis,surveillance,15-7068,17015.pdf,,
7/1/2013,17020,6446.05,,,,,,
7/1/2013,17027,15487.36,,,,,,
7/1/2013,17029,31368.23,,,,,,
7/15/2013,17044,174174.52,,,,,,
7/17/2013,17046,6752,lexis nexis,surveillance,15-7070,17046.pdf,,
8/7/2013,17071,7932.09,phones,routine,15-7070,17071.pdf,,
8/7/2013,17075,10071.6,REDACTED,surveillance?,15-7070,17075.pdf,overredaction,
8/21/2013,17086,8500,lexis nexis,surveillance,15-7068,17086.pdf,,
8/22/2013,17087,9435.07,phones,routine,15-7070,17087.pdf,,
9/11/2013,17109,41134.6,enterprise,routine,15-7070,17109.pdf,,
9/11/2013,17110,14620.23,seized vehicles,routine,15-7070,17110.pdf,,
9/13/2013,17113,13300.5,lexis nexis,surveillance,15-7070,17113.pdf,,
9/19/2013,17119,8500,lexis nexis,surveillance,15-7068,17119.pdf,,
9/24/2013,17123,6750.5,lexis nexis,surveillance,15-7070,17123.pdf,,
10/15/2013,17137,17992,,,,,,
10/17/2013,17140,8500,lexis nexis,surveillance,15-7068,17140.pdf,,
10/18/2013,17143,8688.6,raid jacket,routine,15-7070,17143.pdf,,
10/18/2013,17144,6732.5,lexis nexis,surveillance,15-7069,17144.pdf,,
10/22/2013,17145,23201.16,phones,Routine,15-7069,17145.pdf,,
11/1/2013,17151,137171.67,PENLink,surveillance,15-7069,17151.pdf,,
11/15/2013,17174,15432.81,phones,Routine,15-7069,17174.pdf,,
11/21/2013,17181,8500,lexis nexis ,surveillance,15-7069,17181.pdf,,
11/22/2013,17185,31782.3,phones,Routine,15-7069,17185.pdf,,
12/2/2013,17189,8500.25,lexis nexis ,surveillance,15-7069,17189.pdf,,
12/5/2013,17200,10964.67,seized vehicles,Routine,15-7069,17200.pdf,,
12/10/2013,17208,6819.5,lexis nexis ,surveillance,15-7069,17208.pdf,,
12/24/2013,17219,8500,lexis nexis,surveillance,15-7069,17219.pdf,,
1/3/2014,17222,15040.93,phones,routine,15-7067,17222.pdf,,
1/9/2014,17232,52974.05,phones,Routine,15-7067,17232.pdf,,
1/10/2014,17233,66052.59,phones,Routine,15-7067,17233.pdf,,
1/13/2014,17236,24488.25,enterprise,Routine,15-7067,17236.pdf,,
1/16/2014,17244,6633.75,lexis nexis,surveillance,15-7067,17244.pdf,,
1/16/2014,17247,14662.84,phones,Routine,15-7067,17247.pdf,,
1/21/2014,17251,11987.2,narcotics destruction,Routine,15-7067,17251.pdf,,
1/23/2014,17253,8500,lexis nexis,surveillance,15-7067,17253.pdf,,
1/24/2014,17256,106579.24,enterprise,Routine,15-7067,17256.pdf,,
2/3/2014,17265,10431.3,REDACTED,redacted,15-7067,17265.pdf,,
2/3/2014,17267,15114.78,,,,,,
2/3/2014,17268,19766.37,Phones,Routine,15-6586,17268.pdf,,
2/4/2014,17269,6558.5,Lexis Nexis,surveillance,15-6586,17269.pdf,,
2/21/2014,17279,8500,Lexis Nexis,surveillance,15-6586,17279.pdf,,
2/21/2014,17282,15414.01,Phones,Routine,15-6586,17282.pdf,,
3/4/2014,17305,105786.85,Enterprise,Routine,15-6586,17305.pdf,,
3/4/2014,17306,17749.55,Phones,Routine,15-6586,17306.pdf,,
3/7/2014,17310,71175.5,server purchase,Routine,15-6586,17310.pdf,3 servers,
3/11/2014,17312,13110,computer purchase,Routine,15-6586,17312.pdf,for boc administration,
3/13/2014,17315,6644.5,Lexis Nexis,surveillance,15-6586,17315.pdf,,
3/19/2014,17326,14912.77,Phones,Routine,15-6586,17326.pdf,,
3/21/2014,17334,104374.06,Enterprise,Routine,15-6585,17334.pdf,,
3/21/2014,17335,17750.53,phones,Routine,15-6585,17335.pdf,,
3/25/2014,17338,6552.75,lexis nexis,surveillance,15-6585,17338.pdf,,
4/2/2014,17353,13422,server purchase,routine,15-6585,17353.pdf,1 server for redacted purpose,
4/14/2014,17360,9600,DEA Conference,Routine,15-6585,17360.pdf,estimated expense differs from check list,
4/14/2014,17384,15265.66,phones,Routine,15-6585,17384.pdf,,
4/16/2014,17387,19081.35,seized vehicles ,Routine,15-6585,17387.pdf,,
4/17/2014,17394,17764.48,phones,Routine,15-6585,17394.pdf,,
4/23/2014,17399,8500.25,lexis nexis,surveillance,15-6585,17399.pdf,,
5/1/2014,17417,101222.13,Enterprise,Routine,15-3336,17417.pdf,,
5/8/2014,17427,59670,XFM Server,Routine,15-4684,17427.pdf,boc db backup servers,
5/20/2014,17451,8500,lexis nexis,surveillance,15-4684,17451.pdf,,
5/20/2014,17452,385008,Undercover car purchase,Routine,15-3336,17452.pdf,12 Ford Explorers,
5/27/2014,17461,6489.25,lexis nexis,surveillance,15-6585,17461.pdf,,
6/3/2014,17474,104609.93,Enterprise,Routine,15-3336,17474.pdf,,
6/3/2014,17475,14465.05,phones,Routine,15-6571,17475.pdf,,
6/3/2014,17489,17770.69,phones,Routine,15-6571,17489.pdf,,
6/3/2014,17490,6460,lexis nexis,surveillance,15-6571,17490.pdf,,
6/11/2014,17512,14763.59,phones,Routine,15-6571,17512.pdf,,
6/18/2014,17517,8500,lexis nexis,surveillance,15-4684,17517.pdf,,Not in freddy doc
6/18/2014,17519,17756.08,phones,Routine,15-6571,17519.pdf,,
6/18/2014,17520,7615.91,drug testing,Routine,15-6571,17520.pdf,,
6/23/2014,17521,512910,undercover car purchase,routine,15-3336,17521.pdf,,
6/24/2014,17524,7493.75,GPS kit,surveillance,15-6571,17524.pdf,,
7/1/2014,17529,102805,Enterprise,routine,15-3336,17529.pdf,15 ford explorers,
7/1/2014,17534,9300,filemaker,Routine,15-6571,17534.pdf,,
7/9/2014,17541,8500,lexis nexis,surveillance,15-4684,17541.pdf,,
7/9/2014,17543,6485,lexis nexis,surveillance,15-6571,17543.pdf,,
7/16/2014,17548,14991.51,phones,Routine,15-6571,17548.pdf,,"check different from freddy doc; jen checked, this is right"
7/22/2014,17557,7739,Money Counter,Routine,15-6690,17557.pdf,,
7/23/2014,17559,8500,lexis nexis,surveillance,15-4684,17559.pdf,,
7/23/2014,17561,14434.4,Seized car repair,Routine,15-6690,17561.pdf,,
7/23/2014,17562,105160.15,Enterprise,Routine,15-3336,17562.pdf,,
7/25/2014,17563,17969.6,phones,Routine,15-6690,17563.pdf,,
8/4/2014,17578,5790.5,Lexis Nexis,surveillance,15-6690,17578.pdf,,
8/19/2014,17607,5630.34,Narcotics Destruction,Routine,15-6690,17607.pdf,,
8/20/2014,17612,103346.1,Enterprise,Routine,15-3336,17612.pdf,,
9/3/2014,17616,8500,lexis nexis,surveillance,15-4684,17616.pdf,,
9/3/2014,17623,5882,Lexis Nexis,surveillance,15-6690,17623.pdf,,
9/3/2014,17625,15400.25,Phones,Routine,15-6690,17625.pdf,,
9/8/2014,17628,7715.04,Narcotics Destruction,Routine,15-6690,17628.pdf,,
9/18/2014,17635,8500,lexis nexis,surveillance,15-4684,17635.pdf,,
9/18/2014,17638,18272.33,Phones,Routine,15-5691,17638.pdf,,
9/23/2014,17642,102269.79,Enterprise,Routine,15-3336,17642.pdf,,
9/24/2014,17643,5811.5,Lexis Nexis,surveillance,15-5691,17643.pdf,,
10/6/2014,17668,15182.78,phones,routine,15-5691,17668.pdf,,
