Date,Amount,Purchase,Category,Link,MuckRock Link
2011-03-09,138866.00,pen-link pen registers,surveillance,15415.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-03-10,21171.97,phones,phones,15417.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-03-17,8500.00,lexis nexis,routine,15426.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-03-23,133693.88,enterprise,car rental,15499.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-03-24,16464.34,car repair,routine,15501.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-03-25,20957.55,phones,phones,15512.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-01,5817.00,lexis nexis,routine,15516.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-18,6000.00,pen register,surveillance,15548.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-18,5042.55,drug testing,routine,15553.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-18,6600.24,car repair,routine,15557.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-19,131498.37,enterprise,car rental,15558.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-21,8500.00,lexis nexis,routine,15561.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-21,5720.50,lexis nexis,routine,15565.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
2011-04-25,42855.57,phones,phones,15569.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-04-27,40796.45,phones,phones,15589.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-09,20348.64,phones,phones,15635.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-11,38328.54,phones,phones,15639.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-13,8500.00,lexis nexis,routine,15647.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-23,135435.75,enterprise,car rental,15664.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-23,20759.59,phones,phones,15665.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-05-24,19020.34,phones,phones,15672.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-06-01,6336.28,car repair,routine,15692.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-06-01,35108.95,phones,phones,15694.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
2011-06-02,5971.25,lexis nexis,routine,15698.pdf,Personal e-mail
2011-06-03,6385.50,windows administrator training,routine,15704.pdf,Personal e-mail
2011-06-06,14028.30,freight security trackers,surveillance,15711.pdf,Personal e-mail
2011-06-14,19451.28,phones,phones,15721.pdf,Personal e-mail
2011-06-16,8500.00,lexis nexis,routine,15724.pdf,Personal e-mail
2011-06-16,5500.00,pen register,surveillance,15726.pdf,Personal e-mail
2011-06-23,129020.01,enterprise,car rental,15745.pdf,Personal e-mail
2011-06-27,11245.00,dell storage array,routine,15747.pdf,Personal e-mail
2011-07-08,5901.00,lexis nexis,routine,15763.pdf,Personal e-mail
2011-07-25,16746.28,phones,phones,15778.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-08-04,44520.00,research electronics,unknown,15786.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-04,128777.97,enterprise,car rental,15788.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-08,9625.00,pen register,surveillance,15793.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
