Date,Amount,Purchase,Category,Link
2015-10-02,21253.20,dell computers,routine,18274.pdf
2015-10-02,9711.84,dell computers,routine,18271.pdf
2015-10-02,8916.63,48tb hard drive for homan square security system,routine,18272.pdf
2015-10-02,5577.85,phones,phones,18270.pdf
2015-10-05,10819.38,redxdefense training,unknown,18277.pdf
2015-10-08,9491.03,car repair,routine,18280.pdf
2015-10-13,16579.55,team cameras from b&h video,unknown,18290.pdf
2015-10-13,6081.00,lexis nexis,routine,18295.pdf
2015-10-20,728355.00,motorola radios,routine,18315.pdf
2015-10-20,12975.53,worldwide technologies invoice,unknown,18314.pdf
2015-10-20,8548.00,dell computers,routine,18316.pdf
2015-10-20,8500.00,lexis nexis,routine,18308.pdf
2015-10-21,23600.00,research electronics,unknown,18320.pdf
2015-10-21,15348.21,penlink,surveillance,18318.pdf
2015-11-02,112194.91,enterprise,car rental,18332.pdf
2015-11-02,21809.00,phones,phones,18334.pdf
2015-11-02,18225.96,dell computers,routine,18337.pdf
2015-11-02,15750.96,phones,phones,18333.pdf
2015-11-02,14453.52,dell computers,routine,18340.pdf
2015-11-02,7947.67,car repair,routine,18331.pdf
2015-11-02,5385.00,hdmi video retrieval kits,routine,18336.pdf
2015-11-02,12837.51,dell computers,routine,18339.pdf
2015-11-02,8436.02,dell computers,routine,18342.pdf
2015-11-02,8436.02,dell computers,routine,18343.pdf
2015-11-02,8812.08,dell computers,routine,18344.pdf
2015-11-02,7647.90,dell computers,routine,18345.pdf
2015-11-12,6325.00,phones,phones,18357.pdf
2015-11-13,18561.35,davis sign company,unknown,18361.pdf
2015-11-16,5224.00,lexis nexis,routine,18362.pdf
2015-11-17,8500.00,lexis nexis,routine,18369.pdf
2015-12-02,110729.84,enterprise,car rental,18374.pdf
2015-12-01,68159.50,penlink,surveillance,18382.pdf
2015-12-04,15349.99,phones,phones,18383.pdf
2015-12-04,131783.84,meridian it,unknown,18384.pdf
2015-12-08,20683.23,phones,phones,18388.pdf
2015-12-10,5355.00,lexis nexis,routine,18389.pdf
2015-12-10,35192.64,dell computers,routine,18393.pdf
2015-12-10,35192.64,dell computers,routine,18394.pdf
2015-12-10,11250.00,dell computers,routine,18395.pdf
2015-12-10,11567.70,dell computers,routine,18396.pdf
2015-12-21,8500.00,lexis nexis,routine,18403.pdf
2015-12-21,9894.00,motorola apex 6000 portable radios,routine,18406.pdf
2015-12-30,12978.45,car repair,routine,18422.pdf
2015-12-30,15459.07,phones,phones,18424.pdf
2015-12-30,3205416.21,"all expenses below $5,000",not analyzed,No data
